Title,Summary,Link to Consultation,Date Received by Lambeth Cyclists,Original Estimated Date of Completion,Consultation Deadline,Tags,Locations,Lambeth Cyclist Thoughts,Links to Google Drive Attachments,Project Type,Action Required,AI Key Points
Clapham Common Vehicle Crossing,,,"March 14, 2025",,,,https://maps.app.goo.gl/7Aatw3aNBD54P5Ae8,,,,,
Community Fund Parklets Phase 2 - Traffic Orders Made,"Traffic orders have been made to install parklets on Hargwyne Street, Stockwell Park Road and Tradescant Road by removing parking spaces and installing double yellow lines. These parklets will create new public realm spaces that could benefit cyclists by providing rest areas and improving street environment.",,"April 22, 2025 → April 22, 2025","February 24, 2025 → February 24, 2025",,"parking_removal, parklets, public_realm","Hargwyne Street,Stockwell Park Road,Tradescant Road",,https://docs.google.com/document/d/1L3rUnttnc5DutXKrzW-uSLZyAL1Bz9BQ/edit?usp=drivesdk&ouid=117978934978557979351&rtpof=true&sd=true,traffic_order,information_only,
Vehicle Crossover Installation - Parking Space Removal on Three Streets,"Lambeth Council proposes to remove resident parking spaces and install dropped kerbs at three locations to enable vehicle access to properties. While not directly cycling infrastructure, these changes may affect street layout and parking availability that could impact cycling conditions.",,"March 19, 2025 → March 19, 2025",,"April 3, 2025 → April 3, 2025","parking, street_layout, traffic_order","Abbots Park,Elms Crescent,Shakespeare Road",,https://docs.google.com/document/d/1H4dTG18sZxZxYTumOQsWUZCFUl6ElQVV/edit?usp=drivesdk&ouid=117978934978557979351&rtpof=true&sd=true,traffic_order,response_needed,
Brixton Station Road and Canterbury Crescent Development - Engagement Restart,"Lambeth Council is restarting engagement for redevelopment of 49 Brixton Station Road (Pop Brixton) and 6 Canterbury Crescent (International House) with new consultation partner AND London. This is a GDPR update rather than substantive project information, but the developments may impact cycling infrastructure around Brixton Station area.",,"June 2, 2025 → June 2, 2025",,,"development, public_realm","49 Brixton Station Road,6 Canterbury Crescent,Brixton Station Road",,https://drive.google.com/file/d/1ci2aKswnMEHilRcPkOaWrIbUhunCx6py/view?usp=drivesdk,other,monitoring,
Atlantic Road Car Free Day Series - Reimagining Atlantic Road,"Monthly car-free events on Atlantic Road transforming the street into traffic-free zone on second Saturday of each month until December 2025. Road closures prevent motor vehicle access between Brixton Road and Coldharbour Lane, and between Coldharbour Lane and Kellet Road during events.",,"June 10, 2025 → June 10, 2025","December 31, 2025 → December 31, 2025",,"car_free, public_realm, street_closure","Atlantic Road,Brixton Station Road,Canterbury Crescent,Electric Avenue,Brixton Road,Coldharbour Lane,Kellet Road",,https://drive.google.com/file/d/15RZW__SLWsc73BPp57N-fC5pdNOz9JiQ/view?usp=drivesdk,infrastructure_project,monitoring,
Lilford Road Traffic Order - Vehicle Crossover Changes,Lambeth Council proposes to permanently amend parking restrictions on Lilford Road to close two existing vehicle crossovers and create one new central crossover for Lilford Business Centre redevelopment. The changes to vehicle access points may affect cycling conditions along this route.,,"June 17, 2025 → June 17, 2025",,"July 11, 2025 → July 11, 2025","business_development, traffic_order, vehicle_access",Lilford Road,,https://drive.google.com/file/d/1MCeLSJ_XQBDZRrMbOnnNefHpCe7BxKww/view?usp=drivesdk,traffic_order,response_needed,
Pop Brixton and International House Redevelopment - Community Advisory Board,Mixed-use redevelopment at 49 Brixton Station Road (Pop Brixton) and 6 Canterbury Crescent seeking Community Advisory Board members. Project includes public realm improvements and £250k Community Chest Fund that could potentially benefit cycling infrastructure in central Brixton.,,"June 19, 2025 → June 19, 2025",,"July 9, 2025 → July 9, 2025","consultation, public_realm","Brixton Station Road,Canterbury Crescent,Brixton",,https://drive.google.com/file/d/1XJ4Ro4zVSP6S08Me5d60l1urp56aRLVA/view?usp=drivesdk,consultation,response_needed,
Community Fund Parklets Phase 2 - Traffic Orders Made,"Traffic orders have been made to install parklets on Hargwyne Street, Stockwell Park Road and Tradescant Road by removing parking spaces and installing double yellow lines. These parklets will create new public realm spaces that could benefit cyclists by providing rest areas and improving street environment.",,"April 22, 2025 → April 22, 2025","February 24, 2025 → February 24, 2025",,"parking_removal, parklets, public_realm","Hargwyne Street,Stockwell Park Road,Tradescant Road",,https://docs.google.com/document/d/1L3rUnttnc5DutXKrzW-uSLZyAL1Bz9BQ/edit?usp=drivesdk&ouid=117978934978557979351&rtpof=true&sd=true,traffic_order,information_only,
A23 Brixton Hill Crossing and Future Cycling Infrastructure Plans,"TfL completed a pedestrian crossing at Brixton Hill/St Saviours Road junction in Summer 2024, rejecting alternative location at Lambert Road/Josephine Avenue. TfL is developing updated proposals for Brixton town centre to improve active travel and seeking funding for A23 sustainable travel improvements south of Brixton.",,"July 2, 2025 → July 2, 2025","July 31, 2024 → July 31, 2024",,"cycle_infrastructure, pedestrian_crossing, public_realm","Brixton Hill,St Saviours Road,Lambert Road,Josephine Avenue,A23,Brixton town centre,Streatham Hill",,,infrastructure_project,monitoring,
A23 Brixton Hill Cycling Crossing - Lambert Road/Josephine Avenue Junction,"Lambeth Cyclists proposed a cycling crossing at Lambert Road/Josephine Avenue on A23 Brixton Hill, but TfL rejected it in favor of a pedestrian-only crossing at St Saviours Road. The group is pushing back with specific technical proposals for a cost-effective scheme that would link two Lambeth LTNs and address a long-identified barrier on the London Cycle Network.",,"July 7, 2025 → July 7, 2025",,,"LTN, barrier_removal, cycle_crossing","A23 Brixton Hill,Lambert Road,Josephine Avenue,St Saviours Road junction,Brixton town centre",,,infrastructure_project,response_needed,
